experiment,parameter_1,value_1,parameter_2,value_2,total_flow,major_share,mode,replications,mean_delay,p95_delay,throughput,end_queue,max_approach_delay,delay_gini,conflict_exposures_per_1000,ambiguity_events_per_1000,pedestrian_blocks_per_1000
crossover,left_turn_share,0.3,,,2000,0.5,Signal,24,19.129,40.9921,1984.6667,0.0417,20.7329,0.0305,0.0,0.0,0.0
crossover,left_turn_share,0.4,,,900,0.5,AWSC,24,6.363,12.9023,895.25,1.5,6.6009,0.016,159.8418,0.0,0.0
crossover,left_turn_share,0.4,,,900,0.5,Signal,24,14.2128,38.2926,893.9583,0.0,15.3993,0.0318,0.0,0.0,0.0
crossover,left_turn_share,0.4,,,1000,0.5,AWSC,24,7.5034,15.6952,1008.5833,2.4583,7.8036,0.0153,180.1502,0.0,0.0
crossover,left_turn_share,0.4,,,1000,0.5,Signal,24,14.4622,38.3299,1007.0,0.0,15.4982,0.0284,0.0,0.0,0.0
crossover,left_turn_share,0.4,,,1100,0.5,AWSC,24,8.7518,18.785,1102.3333,3.375,9.0267,0.0125,195.2129,0.0,0.0
crossover,left_turn_share,0.4,,,1100,0.5,Signal,24,14.8756,38.6646,1102.0833,0.0,15.893,0.0289,0.0,0.0,0.0
crossover,left_turn_share,0.4,,,1200,0.5,AWSC,24,10.9268,24.7183,1198.1667,3.4583,11.3652,0.015,207.9085,0.0,0.0
crossover,left_turn_share,0.4,,,1200,0.5,Signal,24,15.1007,38.5861,1197.75,0.0,16.1835,0.0297,0.0,0.0,0.0
crossover,left_turn_share,0.4,,,1300,0.5,AWSC,24,14.7105,36.1946,1285.5833,4.6667,15.3407,0.0176,222.653,0.0,0.0
crossover,left_turn_share,0.4,,,1300,0.5,Signal,24,15.6409,38.835,1286.25,0.0,16.766,0.03,0.0,0.0,0.0
crossover,left_turn_share,0.4,,,1400,0.5,AWSC,24,23.635,51.5791,1388.9167,10.625,24.4259,0.013,234.5518,0.0,0.0
crossover,left_turn_share,0.4,,,1400,0.5,Signal,24,16.1622,39.0902,1394.2083,0.0,17.1026,0.0255,0.0,0.0,0.0
crossover,left_turn_share,0.4,,,1500,0.5,AWSC,24,68.015,117.6575,1467.0417,39.125,69.6891,0.0106,242.2021,0.0,0.0
crossover,left_turn_share,0.4,,,1500,0.5,Signal,24,16.5468,39.3111,1500.625,0.0,17.557,0.0255,0.0,0.0,0.0
crossover,left_turn_share,0.4,,,1600,0.5,AWSC,24,208.6433,314.4088,1465.2917,139.7083,212.7223,0.0083,244.4575,0.0,0.0
crossover,left_turn_share,0.4,,,1600,0.5,Signal,24,16.8891,39.4026,1598.7083,0.0,18.0455,0.0279,0.0,0.0,0.0
crossover,left_turn_share,0.4,,,1700,0.5,AWSC,24,331.8486,519.5069,1433.625,254.9167,337.605,0.0071,247.6755,0.0,0.0
crossover,left_turn_share,0.4,,,1700,0.5,Signal,24,17.3935,39.7705,1681.5417,0.0,18.4175,0.0243,0.0,0.0,0.0
crossover,left_turn_share,0.4,,,1800,0.5,AWSC,24,456.4406,724.9618,1419.2917,377.6667,465.0853,0.0076,249.4313,0.0,0.0
crossover,left_turn_share,0.4,,,1800,0.5,Signal,24,18.3485,40.3681,1789.1667,0.0833,19.7066,0.029,0.0,0.0,0.0
crossover,left_turn_share,0.4,,,1900,0.5,AWSC,24,572.759,915.1749,1395.9167,501.75,584.9127,0.0085,247.1651,0.0,0.0
crossover,left_turn_share,0.4,,,1900,0.5,Signal,24,19.168,41.4677,1889.25,0.0417,21.0869,0.0361,0.0,0.0,0.0
crossover,left_turn_share,0.4,,,2000,0.5,AWSC,24,680.0363,1103.3511,1364.2083,639.125,692.2861,0.0072,248.3119,0.0,0.0
crossover,left_turn_share,0.4,,,2000,0.5,Signal,24,20.1754,43.4454,1992.3333,0.8333,22.207,0.0377,0.0,0.0,0.0
crossover,pedestrian_rate,0,,,900,0.5,AWSC,24,5.4118,10.6545,886.9167,1.375,5.6317,0.0154,140.6023,0.0,0.0
crossover,pedestrian_rate,0,,,900,0.5,Signal,24,13.7857,37.9722,885.25,0.0,14.7144,0.0291,0.0,0.0,0.0
crossover,pedestrian_rate,0,,,1000,0.5,AWSC,24,5.895,11.8079,1001.5417,1.8333,6.0972,0.0148,159.8253,0.0,0.0
crossover,pedestrian_rate,0,,,1000,0.5,Signal,24,14.0513,38.1019,999.7083,0.0,14.9767,0.0294,0.0,0.0,0.0
crossover,pedestrian_rate,0,,,1100,0.5,AWSC,24,6.3184,12.8148,1096.0833,2.0833,6.5357,0.0156,167.7307,0.0,0.0
crossover,pedestrian_rate,0,,,1100,0.5,Signal,24,14.2231,38.2362,1093.75,0.0,15.2211,0.0324,0.0,0.0,0.0
crossover,pedestrian_rate,0,,,1200,0.5,AWSC,24,7.1511,14.8742,1192.5,1.7083,7.4164,0.0159,180.982,0.0,0.0
crossover,pedestrian_rate,0,,,1200,0.5,Signal,24,14.8141,38.4925,1190.5833,0.0,15.6499,0.0224,0.0,0.0,0.0
crossover,pedestrian_rate,0,,,1300,0.5,AWSC,24,8.39,17.7832,1297.875,4.0417,8.6383,0.0125,195.4489,0.0,0.0
crossover,pedestrian_rate,0,,,1300,0.5,Signal,24,15.0258,38.47,1296.5,0.0,15.9704,0.0252,0.0,0.0,0.0
crossover,pedestrian_rate,0,,,1400,0.5,AWSC,24,9.9647,21.7118,1386.9167,3.125,10.3527,0.0153,211.6091,0.0,0.0
crossover,pedestrian_rate,0,,,1400,0.5,Signal,24,15.2887,38.6775,1384.9167,0.0,16.0069,0.0213,0.0,0.0,0.0
crossover,pedestrian_rate,0,,,1500,0.5,AWSC,24,13.143,30.4864,1486.7917,5.6667,13.5559,0.0138,217.6903,0.0,0.0
crossover,pedestrian_rate,0,,,1500,0.5,Signal,24,15.6476,38.6935,1487.3333,0.0,16.5547,0.0243,0.0,0.0,0.0
crossover,pedestrian_rate,0,,,1600,0.5,AWSC,24,23.262,52.3551,1596.125,10.0417,23.9632,0.0127,237.8142,0.0,0.0
crossover,pedestrian_rate,0,,,1600,0.5,Signal,24,16.1313,38.9556,1599.9167,0.0,17.2724,0.0293,0.0,0.0,0.0
crossover,pedestrian_rate,0,,,1700,0.5,AWSC,24,51.627,88.4857,1668.5417,30.625,52.6357,0.0093,242.4134,0.0,0.0
crossover,pedestrian_rate,0,,,1700,0.5,Signal,24,16.1142,38.9527,1692.9583,0.0,17.0683,0.0252,0.0,0.0,0.0
crossover,pedestrian_rate,0,,,1800,0.5,AWSC,24,151.1388,231.6373,1680.625,119.375,153.5991,0.0078,249.4678,0.0,0.0
crossover,pedestrian_rate,0,,,1800,0.5,Signal,24,16.7296,39.298,1792.9583,0.0,17.5955,0.0222,0.0,0.0,0.0
crossover,pedestrian_rate,0,,,1900,0.5,AWSC,24,270.4833,425.674,1658.3333,236.6667,275.0512,0.0074,249.5413,0.0,0.0
crossover,pedestrian_rate,0,,,1900,0.5,Signal,24,17.0749,39.5748,1886.75,0.125,18.1554,0.0247,0.0,0.0,0.0
crossover,pedestrian_rate,0,,,2000,0.5,AWSC,24,377.0984,603.3035,1641.375,353.7917,385.0232,0.008,246.4769,0.0,0.0
crossover,pedestrian_rate,0,,,2000,0.5,Signal,24,17.6173,39.8097,1987.375,0.0,18.6306,0.0238,0.0,0.0,0.0
crossover,pedestrian_rate,50,,,900,0.5,AWSC,24,5.9291,12.4099,886.875,1.4167,6.2098,0.0188,150.8219,0.0,49.9983
crossover,pedestrian_rate,50,,,900,0.5,Signal,24,13.9021,38.0358,885.2083,0.0,14.8348,0.0289,0.0,0.0,22.081
crossover,pedestrian_rate,50,,,1000,0.5,AWSC,24,6.6486,14.5568,1001.0417,2.3333,6.9287,0.0184,167.4684,0.0,49.5444
crossover,pedestrian_rate,50,,,1000,0.5,Signal,24,14.1891,38.1895,999.7083,0.0,15.1393,0.0299,0.0,0.0,23.3084
crossover,pedestrian_rate,50,,,1100,0.5,AWSC,24,7.2989,15.963,1095.8333,2.3333,7.6258,0.0186,176.9837,0.0,48.83
crossover,pedestrian_rate,50,,,1100,0.5,Signal,24,14.3731,38.3371,1093.625,0.0,15.4042,0.0326,0.0,0.0,23.6958
crossover,pedestrian_rate,50,,,1200,0.5,AWSC,24,8.6037,19.2858,1192.0,2.2083,8.943,0.0171,192.5165,0.0,47.3067
crossover,pedestrian_rate,50,,,1200,0.5,Signal,24,14.9713,38.5866,1190.4167,0.0,15.8429,0.023,0.0,0.0,23.1709
crossover,pedestrian_rate,50,,,1300,0.5,AWSC,24,11.2488,25.8779,1296.75,5.1667,11.5848,0.0133,208.6902,0.0,50.7732
crossover,pedestrian_rate,50,,,1300,0.5,Signal,24,15.2447,38.5975,1296.4167,0.0,16.2374,0.0262,0.0,0.0,23.518
crossover,pedestrian_rate,50,,,1400,0.5,AWSC,24,14.7845,35.2843,1385.0417,5.0,15.476,0.0174,222.0825,0.0,48.2536
crossover,pedestrian_rate,50,,,1400,0.5,Signal,24,15.5326,38.8472,1384.75,0.0,16.348,0.0222,0.0,0.0,22.2972
crossover,pedestrian_rate,50,,,1500,0.5,AWSC,24,24.9999,56.5671,1482.625,9.8333,25.9053,0.014,233.4495,0.0,49.5221
crossover,pedestrian_rate,50,,,1500,0.5,Signal,24,15.9113,38.8653,1487.125,0.0,16.8057,0.0244,0.0,0.0,23.2068
crossover,pedestrian_rate,50,,,1600,0.5,AWSC,24,82.6678,147.1821,1554.2083,51.9583,84.6776,0.0103,247.1127,0.0,50.195
crossover,pedestrian_rate,50,,,1600,0.5,Signal,24,16.4659,39.2026,1599.8333,0.0,17.6152,0.0302,0.0,0.0,21.5939
crossover,pedestrian_rate,50,,,1700,0.5,AWSC,24,185.9971,296.2244,1554.1667,145.0,188.9116,0.0067,243.9292,0.0,49.976
crossover,pedestrian_rate,50,,,1700,0.5,Signal,24,16.4965,39.2291,1692.8333,0.0,17.5143,0.0265,0.0,0.0,23.5392
crossover,pedestrian_rate,50,,,1800,0.5,AWSC,24,326.1179,512.6828,1531.4167,268.5833,332.2531,0.0076,247.5391,0.0,50.2138
crossover,pedestrian_rate,50,,,1800,0.5,Signal,24,17.2225,39.6931,1792.8333,0.0,18.2079,0.0234,0.0,0.0,23.421
crossover,pedestrian_rate,50,,,1900,0.5,AWSC,24,442.4068,701.8514,1503.2917,391.7083,449.8942,0.0073,250.6352,0.0,52.012
crossover,pedestrian_rate,50,,,1900,0.5,Signal,24,17.6331,39.9985,1886.5,0.2083,18.8751,0.0282,0.0,0.0,22.7986
crossover,pedestrian_rate,50,,,2000,0.5,AWSC,24,540.8483,873.0509,1486.8333,508.3333,552.7693,0.0083,246.1353,0.0,51.5234
crossover,pedestrian_rate,50,,,2000,0.5,Signal,24,18.3023,40.4059,1987.125,0.0,19.4588,0.0272,0.0,0.0,23.0851
crossover,pedestrian_rate,100,,,900,0.5,AWSC,24,6.4496,14.2459,886.6667,1.625,6.768,0.0195,157.9953,0.0,91.5129
crossover,pedestrian_rate,100,,,900,0.5,Signal,24,13.9819,38.0794,885.2083,0.0,14.9332,0.0292,0.0,0.0,41.727
crossover,pedestrian_rate,100,,,1000,0.5,AWSC,24,7.5699,17.6003,1000.4583,2.9167,7.9116,0.0186,173.4985,0.0,93.3573
crossover,pedestrian_rate,100,,,1000,0.5,Signal,24,14.318,38.2681,999.7083,0.0,15.2768,0.0296,0.0,0.0,43.1713
crossover,pedestrian_rate,100,,,1100,0.5,AWSC,24,8.4919,19.5112,1094.875,3.2917,8.8786,0.0192,190.9158,0.0,94.6259
crossover,pedestrian_rate,100,,,1100,0.5,Signal,24,14.4952,38.3925,1093.5833,0.0,15.5408,0.0328,0.0,0.0,42.2616
crossover,pedestrian_rate,100,,,1200,0.5,AWSC,24,10.632,24.1702,1190.5417,3.6667,11.077,0.0172,200.5032,0.0,92.0472
crossover,pedestrian_rate,100,,,1200,0.5,Signal,24,15.1235,38.6725,1190.375,0.0,16.0253,0.0238,0.0,0.0,43.04
crossover,pedestrian_rate,100,,,1300,0.5,AWSC,24,15.0024,34.795,1295.75,6.1667,15.4881,0.0141,216.6811,0.0,94.0405
crossover,pedestrian_rate,100,,,1300,0.5,Signal,24,15.4458,38.7032,1296.4167,0.0,16.5245,0.0273,0.0,0.0,45.2989
crossover,pedestrian_rate,100,,,1400,0.5,AWSC,24,24.7517,59.1537,1382.5,7.5417,25.7019,0.0164,232.9158,0.0,92.2563
crossover,pedestrian_rate,100,,,1400,0.5,Signal,24,15.7871,39.0367,1384.6667,0.0,16.7316,0.0238,0.0,0.0,42.2372
crossover,pedestrian_rate,100,,,1500,0.5,AWSC,24,63.4805,115.4407,1460.5,31.9583,65.1628,0.0116,243.4001,0.0,91.5449
crossover,pedestrian_rate,100,,,1500,0.5,Signal,24,16.2286,39.1086,1487.0833,0.0,17.2403,0.0259,0.0,0.0,43.9662
crossover,pedestrian_rate,100,,,1600,0.5,AWSC,24,207.5372,332.6132,1457.5,148.6667,211.9714,0.0086,249.5046,0.0,96.4116
crossover,pedestrian_rate,100,,,1600,0.5,Signal,24,16.7745,39.4625,1599.4167,0.0,18.0109,0.0317,0.0,0.0,41.9714
crossover,pedestrian_rate,100,,,1700,0.5,AWSC,24,322.4777,508.5518,1445.7917,253.375,328.0195,0.0072,247.0283,0.0,93.7587
crossover,pedestrian_rate,100,,,1700,0.5,Signal,24,16.8445,39.4669,1692.375,0.0,17.9866,0.0284,0.0,0.0,43.1188
crossover,pedestrian_rate,100,,,1800,0.5,AWSC,24,465.2531,738.3723,1414.625,385.375,473.8464,0.0074,246.5494,0.0,94.7261
crossover,pedestrian_rate,100,,,1800,0.5,Signal,24,17.7136,40.0691,1792.5,0.0833,18.7233,0.0249,0.0,0.0,45.0563
