total_flow,major_share,mode,mean_delay,ci_low,ci_high,p95_delay,throughput,end_queue,max_approach_delay,delay_gini,replications
1000,0.8,AWSC,5.377,5.324,5.43,10.774,1001.25,1.175,5.927,0.0296,40
1000,0.8,Signal,10.488,10.356,10.62,43.309,1001.275,0.0,28.841,0.3273,40
1200,0.8,AWSC,6.515,6.388,6.641,13.833,1198.775,2.1,7.175,0.0287,40
1200,0.8,Signal,10.992,10.863,11.12,44.436,1198.95,0.0,29.28,0.3189,40
1400,0.8,AWSC,8.595,8.342,8.847,19.747,1390.025,3.4,9.359,0.0258,40
1400,0.8,Signal,11.355,11.192,11.518,44.094,1391.15,0.0,29.711,0.31,40
1600,0.8,AWSC,19.839,17.508,22.169,48.693,1597.15,10.35,21.207,0.0227,40
1600,0.8,Signal,12.118,11.964,12.272,45.489,1604.3,0.0,31.13,0.3066,40
1800,0.8,AWSC,157.258,141.981,172.535,245.111,1683.15,125.45,160.863,0.0097,40
1800,0.8,Signal,13.255,13.074,13.435,47.906,1803.625,0.0,33.458,0.301,40
2000,0.8,AWSC,390.463,375.591,405.334,631.415,1638.175,369.025,399.227,0.0091,40
2000,0.8,Signal,13.978,13.79,14.165,48.786,2000.9,0.025,34.868,0.2952,40
2200,0.8,AWSC,586.932,571.843,602.021,948.496,1591.525,602.025,599.832,0.0093,40
2200,0.8,Signal,15.665,15.306,16.024,52.969,2184.85,0.2,40.462,0.3043,40
2400,0.8,AWSC,763.557,749.645,777.469,1242.351,1538.475,864.475,779.668,0.0089,40
2400,0.8,Signal,18.093,17.653,18.533,57.485,2393.675,0.25,45.792,0.2966,40
2600,0.8,AWSC,905.946,892.54,919.352,1480.412,1491.7,1110.025,929.096,0.01,40
2600,0.8,Signal,22.538,21.313,23.764,77.543,2586.9,1.5,63.633,0.3135,40
200,0.9,AWSC,3.815,3.789,3.841,5.732,202.3,0.15,4.188,0.0298,40
200,0.9,Signal,6.695,6.444,6.945,27.231,202.225,0.0,32.985,0.4019,40
400,0.9,AWSC,3.992,3.958,4.026,6.764,398.625,0.65,4.39,0.0254,40
400,0.9,Signal,7.117,6.94,7.294,28.604,398.975,0.0,31.972,0.3851,40
600,0.9,AWSC,4.245,4.212,4.279,7.817,606.025,0.575,4.81,0.0325,40
600,0.9,Signal,7.454,7.304,7.605,29.59,606.15,0.0,31.854,0.3725,40
800,0.9,AWSC,4.571,4.523,4.618,8.846,798.55,0.85,5.258,0.0382,40
800,0.9,Signal,7.699,7.561,7.837,29.297,798.875,0.0,32.069,0.3665,40
1000,0.9,AWSC,5.102,5.041,5.163,10.61,990.975,1.375,5.959,0.0428,40
1000,0.9,Signal,8.105,7.967,8.244,29.666,991.6,0.0,32.411,0.3577,40
1200,0.9,AWSC,5.948,5.851,6.045,12.852,1201.825,2.025,6.885,0.0398,40
